url
https://api.census.gov/data/2023/acs/acs5?get=group(B05006)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5?get=group(B19013)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5?get=group(B19013B)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5?get=group(B19013D)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5?get=group(B19013H)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5?get=group(B19013I)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5?get=group(B25064)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5?get=group(B25088)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5?get=group(B25106)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/profile?get=group(DP05)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/subject?get=group(S0101)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/subject?get=group(S1501)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/subject?get=group(S1601)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/subject?get=group(S1701)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/subject?get=group(S1810)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/subject?get=group(S1903)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/subject?get=group(S2201)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/subject?get=group(S2301)&ucgid=pseudo(0400000US09$0600000)
https://api.census.gov/data/2023/acs/acs5/subject?get=group(S2701)&ucgid=pseudo(0400000US09$0600000)
